Cluster,Top 10 Words (LDA)
19,"model networking refmodel arch afdx example platform basic tte presynthesis, aaspe security singletier crazyflie hardware example r3 pcb forum correct, resourcebudgets modelagemaadl sc tier dc dualtier example platform dual single"
20,"qa issue imp bus emv face dualcore network sa ocarina, security aaspe r0 r6 correct incorrect test ocarina propvalue imp"
21,"dual dist ada polyorb hi demo powerpc hardware processor flowlatencysampleddata, test qa refined impl package isolette source heat isolated device"
22,"aaspe security cwe integration r7 success fail failure float int, pilot flying drone using deformation uavnetworkc uavnetwork inspect structural network"
23,"issue qa errormodelv fgs app control cruise cruisecontrollaws model kaadl, drone inspect network structural deformation using uav modelconstructionsystem modelconstruction basestat"
24,"qa top basic connname flowspeclat i2 test ocarina connectiontiming issue, ocarina qa s2 issue test kaadl deployment connectiontiming i2 basic"
25,"rma scenario polyorb hi, hi polyorb scenario rma"
26,"layer software clientserver networking refmodel model arch example 15 ocarina, aps architecture communication asc ism networkandsystemmanagement rcc qa imp sysparent"
27,"native ada polyorb hi case hw study leon probe dextended, aps communication architecture navigationsystem rcc withredundancy apscommunication backup controlcomputer id"
28,"ping scenario hi polyorb 11 12 10 13, 13 polyorb hi scenario ping 10 12 11"
29,"test issue qa ocarina spg demo designer, test designer demo spg ocarina qa issue"
30,"ocarina t9, t9 ocarina"
31,"mapa iplprojects map mapb, map iplprojects mapb mapa"
32,"polyorb hi scenario d3 duplicate aps forwarding translator pulseox imp, ocarina xml test output qa top issue scenario hi polyorb"
33,"scenario sunseeker polyorb hi, hi polyorb sunseeker scenario"
34,"isolette sensor ksu single dual, isolette dual ksu sensor single"
35,"rma test ocarina erc rmaaadl cpp real 01 hello iplprojects, hi polyorb rmaaadl rma lua torture qa xenomai ada rtems, local polyorb hi type sunseekercontrolsystem sunseeker ptest ada leon sr"
36,"ping aaspe sel pong polyorb hi event twotasks two task, ocarina hello test qa root example simple world round rr"
37,"faceaadl integration model integrationmodel selectedintegrationmodel connectedclient viewsource uuidplatformonly viewsink connectedserver, model integration faceaadl merged im multiplemergedunits selectedintegrationmodel mergedwithdescription mergedwithuuid mergingthreeintegrationmodels"
38,"qa arch issue smarthome thermostat perseus top ardupilot isolette home, test fault complete tree osate fta unit integration use myproperties"
39,"quadrirotorv device foo bar model tc ticketmachine qa parking arm, paparazzo emaxxv device task interruption machine car complete pp collision"
40,"errormodelv dhsystem device redundant se tp common error main commonsource, integration car driving self radar functional aps pathfinder mar simple"
41,"model bless example iomtwin imp missioncomputer mc history telemetry flightcontroller, aps fm uav coffeemachine network deformation drone inspect using vehicle"
42,"flowlatencysampleddata application topsystem allperiodicsampled alldatadriven flowlatencydata pca shutoff apps map, pulseox forwarding imp translator model bless bidirectional duplicate devtodev vvi"
43,"ipca example isolette sensor operation temperature context peripheral base test, vehicle isolette interface il ocarina actuation standard satellite others gps"
44,"adiru example ocarina security car leon local test case study, dca resourcebudgets tier modelagemaadl tempcontrolsoftwaresystem robot minepump smartparking model arch"
